time,symbol,price,Last digit,price_delta,step_volatility,next_digit,h3_signal,target_digit,correct_prediction
1786204670,R_100,599.98,8,-0.11000000000001364,0.10163114133418011,2,1,3,0
1786204674,R_100,599.59,9,-0.32999999999992724,0.11804424782444735,7,1,3,0
1786204678,R_100,599.47,7,-0.10000000000002274,0.11905180945003976,8,1,3,0
1786204684,R_100,599.53,3,-0.11000000000001364,0.1375338342210734,0,1,3,0
1786204686,R_100,599.3,0,-0.2300000000000182,0.13353734392377797,1,1,3,0
1786204688,R_100,599.11,1,-0.18999999999994088,0.13571211359997,3,1,3,1
1786204712,R_100,599.59,9,-0.16999999999995907,0.13810221657243374,4,1,3,0
1786204736,R_100,599.62,2,-0.18999999999994088,0.12272824541330564,5,1,3,0
1786204740,R_100,599.64,4,-0.11000000000001364,0.11376877134492572,8,1,3,0
1786204752,R_100,599.52,2,-0.10000000000002274,0.10646334789233294,9,1,3,0
1786204762,R_100,599.48,8,-0.12999999999999545,0.11085526098877993,3,1,3,1
1786204776,R_100,599.54,4,-0.12999999999999545,0.1267587384671221,3,1,3,1
1786204806,R_100,599.59,9,-0.12999999999999545,0.1401943096007985,7,1,3,0
1786204810,R_100,599.42,2,-0.15000000000009095,0.11933147112142183,7,1,3,0
1786204812,R_100,599.27,7,-0.14999999999997726,0.08854377448471268,7,1,3,0
1786204814,R_100,599.17,7,-0.10000000000002274,0.06912950809091262,3,1,3,1
1786204826,R_100,599.45,5,-0.14999999999997726,0.11625642156697474,9,1,3,0
1786204830,R_100,599.28,8,-0.11000000000001364,0.11276327219248437,4,1,3,0
1786204840,R_100,599.13,3,-0.12000000000000455,0.09538809615927622,4,1,3,0
1786204844,R_100,599.01,1,-0.12999999999999545,0.07781031065639796,9,1,3,0
1786204846,R_100,598.79,9,-0.22000000000002728,0.08921883209279316,6,1,3,0
1786204848,R_100,598.46,6,-0.32999999999992724,0.1220245876862451,8,1,3,0
1786204850,R_100,598.28,8,-0.18000000000006366,0.12507775359528864,4,1,3,0
1786204852,R_100,598.14,4,-0.13999999999998636,0.1237380746217984,6,1,3,0
1786204870,R_100,598.06,6,-0.21000000000003638,0.12576874722195783,2,1,3,0
1786204876,R_100,598.04,4,-0.16000000000008185,0.12647353697735916,4,1,3,0
1786204882,R_100,597.88,8,-0.22000000000002728,0.1389804142876237,0,1,3,0
1786204914,R_100,597.85,5,-0.13999999999998636,0.10977249200050736,2,1,3,0
1786204916,R_100,597.72,2,-0.12999999999999545,0.11568155523774565,9,1,3,0
1786204944,R_100,597.71,1,-0.18999999999994088,0.13806600675843275,2,1,3,0
1786204948,R_100,597.57,7,-0.14999999999997726,0.09718253158073539,1,1,3,0
1786204950,R_100,597.41,1,-0.16000000000008185,0.0954579604968709,2,1,3,0
1786204956,R_100,597.35,5,-0.2799999999999727,0.137921072437184,7,1,3,0
1786204960,R_100,597.34,4,-0.12999999999999545,0.14433371824428815,6,1,3,0
1786205010,R_100,597.34,4,-0.12999999999999545,0.14071642090071235,1,1,3,0
1786205032,R_100,597.85,5,-0.13999999999998636,0.1360718764313599,2,1,3,0
1786205054,R_100,597.56,6,-0.11000000000001364,0.14190763819390254,8,1,3,0
1786205060,R_100,597.8,0,-0.10000000000002274,0.12712198865655178,9,1,3,0
1786205066,R_100,597.6,0,-0.12000000000000455,0.1211243621700888,4,1,3,0
1786205068,R_100,597.44,4,-0.15999999999996817,0.11883228143527098,5,1,3,0
1786205138,R_100,596.42,2,-0.16000000000008185,0.14400617270725022,5,1,3,0
1786205176,R_100,596.18,8,-0.11000000000001364,0.14088608479509934,8,1,3,0
1786205230,R_100,595.78,8,-0.2300000000000182,0.1386001443000561,7,1,3,0
1786205238,R_100,595.63,3,-0.15999999999996817,0.12129394965217158,6,1,3,0
1786205292,R_100,597.24,4,-0.12999999999999545,0.1207200618510898,2,1,3,0
1786205336,R_100,596.02,2,-0.11000000000001364,0.13283239230117025,8,1,3,0
1786205342,R_100,595.62,2,-0.32000000000005,0.10011104945122666,4,1,3,0
1786205376,R_100,596.02,2,-0.20000000000004547,0.11510864433223313,2,1,3,0
1786205378,R_100,595.82,2,-0.1999999999999318,0.12413702106945664,0,1,3,0
1786205392,R_100,595.8,0,-0.10000000000002274,0.12311241475441474,3,1,3,1
1786205396,R_100,595.63,3,-0.20000000000004547,0.10898012051133482,6,1,3,0
1786205418,R_100,596.32,2,-0.12999999999999545,0.1173977096123511,6,1,3,0
1786205512,R_100,595.74,4,-0.2400000000000091,0.103408574757274,9,1,3,0
1786205514,R_100,595.59,9,-0.14999999999997726,0.10801234497345365,2,1,3,0
1786205540,R_100,595.66,6,-0.16000000000008185,0.1309834595156035,2,1,3,0
